39,0,0,39,40,78,1,0
39,39,0,0,40,78,1,0
0,0,39,39,40,78,1,0
0,39,39,0,40,78,1,0
38,0,0,39,40,77,1,0
0,39,39,1,40,77,1,0
1,0,39,39,40,77,1,0
0,39,38,0,40,77,1,0
39,39,0,1,40,77,1,0
0,1,39,39,40,77,1,0
10,34,37,18,28,43,1,0
9,16,32,34,24,41,1,0
8,22,33,6,26,41,1,0
10,11,39,14,30,32,1,0
19,4,0,17,20,32,1,0
18,22,34,38,17,32,1,0
34,23,9,20,26,28,1,0
9,20,25,25,17,21,1,0
29,2,25,16,15,18,1,0
13,30,13,34,5,4,1,0
18,12,7,1,39,54,1,3
7,1,18,12,39,54,1,3
7,1,17,12,39,53,1,3
7,1,18,11,38,53,1,3
18,12,6,1,38,53,1,3
7,12,7,1,37,53,1,3
7,1,7,12,37,53,1,3
18,11,7,1,38,53,1,3
6,1,18,12,38,53,1,3
17,12,7,1,39,53,1,3
7,1,16,12,39,52,1,3
18,12,5,1,38,52,1,3
7,1,8,12,37,52,1,3
7,12,6,1,36,52,1,3
16,12,7,1,39,52,1,3
8,12,7,1,37,52,1,3
6,1,7,12,36,52,1,3
17,11,7,1,38,52,1,3
7,11,7,1,36,52,1,3
6,2,18,12,38,52,1,3
18,12,6,2,38,52,1,3
17,12,6,1,38,52,1,3
7,1,7,11,36,52,1,3
6,1,17,12,38,52,1,3
6,1,18,11,37,52,1,3
2,3,16,8,32,41,1,3
8,15,2,5,34,38,1,3
16,13,1,8,33,36,1,3
1,7,9,13,31,36,1,3
3,3,10,18,28,32,1,3
1,10,16,7,24,32,1,3
3,10,17,17,27,31,1,3
15,15,3,8,28,31,1,3
1,3,13,2,24,31,1,3
18,7,3,10,22,30,1,3
18,10,3,15,27,30,1,3
16,11,1,15,25,25,1,3
1,9,7,18,19,21,1,3
9,1,8,14,17,20,1,3
13,1,12,18,18,18,1,3
1,17,9,16,18,17,1,3
9,12,16,14,9,13,1,3
16,11,11,8,10,12,1,3
10,7,14,1,8,10,1,3
8,7,6,14,9,9,1,3
15,10,12,5,8,8,1,3
1,11,2,14,8,8,1,3
11,4,10,10,7,7,1,3
11,16,5,16,7,6,1,3
2,13,1,16,4,4,1,3
0,0,19,19,25,38,1,4
0,19,19,0,24,38,1,4
19,0,0,19,24,38,1,4
19,19,0,0,25,38,1,4
0,19,18,0,24,37,1,4
0,19,19,1,24,37,1,4
0,18,19,0,24,37,1,4
1,0,19,19,24,37,1,4
19,19,1,0,24,37,1,4
1,19,19,0,23,37,1,4
0,1,19,19,25,37,1,4
19,1,0,19,24,37,1,4
0,0,19,18,24,37,1,4
19,18,0,0,24,37,1,4
19,19,0,1,25,37,1,4
19,0,1,19,23,37,1,4
19,0,0,18,24,37,1,4
18,0,0,19,24,37,1,4
19,19,2,0,24,36,1,4
18,0,1,19,23,36,1,4
19,1,0,18,24,36,1,4
19,19,1,1,24,36,1,4
1,0,19,18,23,36,1,4
0,17,19,0,24,36,1,4
17,19,0,0,22,36,1,4
18,0,0,11,21,29,1,4
13,0,0,13,17,26,1,4
0,15,11,3,15,23,1,4
13,16,9,1,16,19,1,4
7,19,1,7,13,18,1,4
6,4,13,15,13,18,1,4
18,6,8,14,13,18,1,4
15,0,15,14,16,18,1,4
3,8,15,12,13,16,1,4
12,12,15,0,14,15,1,4
4,10,10,18,10,14,1,4
17,3,16,13,12,13,1,4
10,4,0,3,12,13,1,4
2,0,2,11,12,13,1,4
7,7,13,1,10,12,1,4
16,14,10,18,8,10,1,4
16,18,17,9,10,10,1,4
13,11,18,16,7,10,1,4
11,2,8,8,9,9,1,4
10,12,5,9,7,8,1,4
8,9,4,13,5,8,1,4
8,15,14,13,7,8,1,4
15,19,18,14,6,8,1,4
13,9,11,6,6,5,1,4
10,13,8,14,3,3,1,4
0,19,0,5,56,74,1,5
0,5,0,19,56,74,1,5
0,19,1,0,58,74,1,5
1,0,0,19,58,74,1,5
16,18,0,5,58,73,1,5
16,18,1,0,60,73,1,5
1,0,16,18,60,73,1,5
1,19,0,5,55,73,1,5
0,5,15,19,57,73,1,5
0,19,0,0,57,73,1,5
1,0,15,19,59,73,1,5
0,5,16,18,58,73,1,5
0,4,0,19,55,73,1,5
15,19,1,0,59,73,1,5
1,0,17,17,61,73,1,5
0,19,0,4,55,73,1,5
1,19,1,0,57,73,1,5
0,0,0,19,57,73,1,5
0,5,17,17,59,73,1,5
0,5,1,19,55,73,1,5
17,17,1,0,61,73,1,5
15,19,0,5,57,73,1,5
17,17,0,5,59,73,1,5
1,0,1,19,57,73,1,5
0,1,0,19,56,72,1,5
12,0,19,18,1,0,0,5
17,19,9,8,1,0,0,5
15,4,18,18,1,0,0,5
3,16,19,18,1,0,0,5
13,10,18,19,1,0,0,5
1,16,0,5,52,70,1,5
7,0,19,15,46,57,1,5
0,5,14,8,46,55,1,5
14,1,0,4,40,51,1,5
10,0,0,3,37,45,1,5
19,5,3,6,39,43,1,5
8,18,0,7,39,41,1,5
6,14,15,2,19,25,1,5
4,15,14,0,19,25,1,5
10,2,11,17,17,22,1,5
2,14,13,4,14,21,1,5
18,16,5,16,18,19,1,5
8,15,11,1,15,17,1,5
8,14,15,6,15,15,1,5
11,6,4,14,10,15,1,5
14,12,17,0,14,15,1,5
11,16,18,10,9,13,1,5
12,14,11,8,12,11,1,5
17,11,19,5,7,8,1,5
12,4,13,8,8,7,1,5
0,5,37,37,88,113,1,1
1,0,37,37,90,113,1,1
37,37,0,5,88,113,1,1
37,37,1,0,90,113,1,1
0,0,37,37,89,112,1,1
37,37,0,0,89,112,1,1
0,4,37,37,87,112,1,1
1,0,36,37,89,112,1,1
37,37,0,4,87,112,1,1
36,37,0,5,87,112,1,1
36,37,1,0,89,112,1,1
0,5,36,37,87,112,1,1
0,4,36,37,86,111,1,1
0,5,35,39,87,111,1,1
1,4,37,37,87,111,1,1
0,5,35,37,86,111,1,1
0,1,37,37,88,111,1,1
35,37,1,0,88,111,1,1
37,37,0,3,87,111,1,1
36,37,0,4,86,111,1,1
1,0,35,37,88,111,1,1
1,0,36,38,90,111,1,1
1,0,35,39,89,111,1,1
35,39,1,0,89,111,1,1
